Unnamed: 0,Loyalty Number,Salary,CLV,Salary_Was_Imputed,Male_Enc,Marital_Enc,Education_Enc,Card_Enc,Promo_Enroll,Tenure_At_Cutoff,Churn,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Active_Months,Max_Flights_Month,Total_Months,Avg_Flights_Month,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4,Churn_Prob,Churn_Risk
0,480934,83236.0,3839.14,0,0,1,2,0,0,22,0,18,25352,25352.0,322,7,4,12,1.5,0.5833333333333334,0.0127011675607447,1408.4444444444443,0.0,1,8,6,3,0.07080998805420094,Low
1,549612,73510.0,3839.61,1,1,2,1,0,0,21,0,31,36136,36136.0,787,8,5,12,2.583333333333333,0.6666666666666666,0.0217788355102944,1165.6774193548388,1.0,10,5,9,7,0.11787181067739541,Low
2,429460,73510.0,3839.75,1,1,0,1,0,0,41,1,16,22957,22957.0,374,7,4,12,1.3333333333333333,0.5833333333333334,0.0162913272640153,1434.8125,1.0,5,4,5,2,0.06358548137484929,Low
3,608370,73510.0,3839.75,1,1,0,1,0,0,58,0,24,33369,33369.0,864,9,5,12,2.0,0.75,0.0258922952440888,1390.375,0.0,8,10,3,3,0.023420391088294985,Low
4,530508,103495.0,3842.79,0,1,1,2,0,0,38,0,11,19886,19886.0,0,4,4,12,0.9166666666666666,0.3333333333333333,0.0,1807.8181818181815,1.0,3,2,4,2,0.12118077060377537,Low
5,193662,51124.0,3844.57,0,1,1,2,0,0,67,0,52,84718,84718.0,854,11,12,12,4.333333333333333,0.9166666666666666,0.0100805023725772,1629.1923076923076,0.0,3,20,17,12,0.0021190569723854693,Low
6,927943,73510.0,3857.95,1,0,0,1,0,0,42,0,16,21692,21692.0,1174,6,6,12,1.3333333333333333,0.5,0.0541213350543979,1355.75,1.0,3,8,1,4,0.07342949512284822,Low
7,188893,100159.0,3861.49,0,1,1,2,0,0,12,0,23,42235,42235.0,334,8,5,12,1.9166666666666667,0.6666666666666666,0.0079081330649934,1836.304347826087,1.0,7,10,1,5,0.09241949188073878,Low
8,852392,100159.0,3861.49,0,0,1,2,0,0,31,0,20,36504,36504.0,990,7,5,12,1.6666666666666667,0.5833333333333334,0.027120315581854,1825.2,0.0,6,9,3,2,0.08940846667367792,Low
9,866307,100159.0,3861.49,0,1,1,2,0,0,14,0,23,28135,28135.0,1057,7,5,12,1.9166666666666667,0.5833333333333334,0.0375688644037675,1223.2608695652175,1.0,7,12,0,4,0.17432962876302857,Medium
10,932823,66444.0,3863.31,0,0,1,2,0,0,33,0,25,45739,45739.0,499,9,4,12,2.083333333333333,0.75,0.010909726928879,1829.56,0.0,5,3,8,9,0.012668730759704282,Low
11,144514,49618.0,3864.78,0,0,1,2,0,0,18,0,12,16970,16970.0,0,5,3,12,1.0,0.4166666666666667,0.0,1414.1666666666667,0.0,3,0,5,4,0.19281445244437417,Medium
13,988178,73510.0,3871.07,1,1,0,1,0,0,50,0,38,55010,55010.0,679,12,5,12,3.1666666666666665,1.0,0.0123432103253953,1447.6315789473683,0.0,10,13,7,8,0.00809891717823375,Low
14,286114,73510.0,3872.22,1,0,0,1,0,0,13,0,14,19232,19232.0,1165,6,5,12,1.1666666666666667,0.5,0.0605761231281198,1373.7142857142858,0.0,3,0,7,4,0.1643447832698361,Medium
15,205785,128118.0,3873.65,0,1,1,3,0,0,16,0,27,40831,40831.0,1233,9,6,12,2.25,0.75,0.030197643947001,1512.2592592592594,0.0,4,7,12,4,0.02723486146355499,Low
16,735304,128118.0,3873.65,0,0,1,3,0,0,12,0,9,16132,16132.0,608,6,3,12,0.75,0.5,0.0376890652120009,1792.4444444444443,0.0,2,1,1,5,0.06180704244651666,Low
17,438936,94092.0,3878.77,0,1,1,2,0,0,50,0,29,37432,37432.0,0,9,5,12,2.4166666666666665,0.75,0.0,1290.7586206896551,0.0,4,10,9,6,0.009730626613435114,Low
18,354730,73510.0,3885.46,1,0,1,1,0,0,38,1,20,36872,36872.0,0,8,5,12,1.6666666666666667,0.6666666666666666,0.0,1843.6,1.0,5,6,8,1,0.06368738451046976,Low
19,413741,73510.0,3885.46,1,0,1,1,0,0,29,0,22,42474,42474.0,1410,8,7,12,1.8333333333333333,0.6666666666666666,0.0331967792061025,1930.636363636364,1.0,7,1,10,4,0.06829023190357833,Low
21,642313,73510.0,3885.46,1,1,1,1,0,0,21,0,19,23282,23282.0,1506,8,5,12,1.5833333333333333,0.6666666666666666,0.0646851645047676,1225.3684210526317,0.0,6,3,6,4,0.07193736962431359,Low
22,263080,73510.0,3886.5,1,1,0,1,0,0,43,0,14,16998,16998.0,0,4,4,12,1.1666666666666667,0.3333333333333333,0.0,1214.142857142857,2.0,0,8,4,2,0.11466905450255165,Low
23,109767,89062.0,3886.65,0,0,0,2,0,0,19,0,19,31203,31203.0,1151,11,3,12,1.5833333333333333,0.9166666666666666,0.0368874787680671,1642.2631578947369,0.0,7,2,6,4,0.02285292075482571,Low
24,217754,102400.0,3887.32,0,0,0,2,0,0,30,0,20,33727,33727.0,0,7,7,12,1.6666666666666667,0.5833333333333334,0.0,1686.35,4.0,5,6,9,0,0.14233546314005446,Low
25,157005,98629.0,3890.87,0,1,1,2,0,0,14,0,28,36212,36212.0,0,11,4,12,2.333333333333333,0.9166666666666666,0.0,1293.2857142857142,1.0,10,5,11,2,0.057715059115804476,Low
26,557752,98629.0,3890.87,0,0,1,2,0,0,2,0,5,11255,11255.0,0,1,5,12,0.4166666666666667,0.0833333333333333,0.0,2251.0,0.0,0,0,0,5,0.7392917693933468,High
27,608758,63795.0,3890.96,0,1,1,2,0,0,53,0,13,24928,24928.0,0,7,4,12,1.0833333333333333,0.5833333333333334,0.0,1917.5384615384612,0.0,1,5,2,5,0.017813694279902495,Low
28,599341,54890.0,3891.54,0,0,1,2,0,0,25,0,37,68642,68642.0,983,12,6,12,3.083333333333333,1.0,0.0143206783019142,1855.1891891891887,0.0,7,5,12,13,0.0038235325707597647,Low
29,333502,73510.0,3891.58,1,1,1,1,0,0,45,0,14,19704,19704.0,0,4,5,12,1.1666666666666667,0.3333333333333333,0.0,1407.428571428571,1.0,3,0,9,2,0.10527121733622773,Low
30,201574,51375.0,3893.31,0,0,1,2,0,0,32,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.08606804466988098,Low
31,403361,70222.0,3895.03,0,1,0,2,0,0,2,0,3,6183,6183.0,0,1,3,12,0.25,0.0833333333333333,0.0,2061.0,1.0,0,0,0,3,0.8325949922449806,High
32,543918,40736.0,3896.57,0,1,1,0,0,0,61,0,30,41922,41922.0,1987,10,4,12,2.5,0.8333333333333334,0.0473975478269166,1397.4,0.0,7,4,12,7,0.008952821007798909,Low
34,119200,69835.0,3903.8,0,0,2,2,0,0,7,0,10,14956,14956.0,0,4,5,12,0.8333333333333334,0.3333333333333333,0.0,1495.6,0.0,0,5,1,4,0.2685021841807907,Medium
35,238119,75980.0,3906.67,0,1,1,2,0,0,55,0,25,38650,38650.0,0,8,5,12,2.083333333333333,0.6666666666666666,0.0,1546.0,0.0,3,9,5,8,0.00758484892250667,Low
36,730388,73510.0,3907.03,1,1,0,1,0,0,67,0,23,34172,34172.0,0,8,6,12,1.9166666666666667,0.6666666666666666,0.0,1485.7391304347825,0.0,3,7,8,5,0.00863545032803337,Low
37,834891,54460.0,3911.12,0,0,1,2,0,0,9,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.20838008756671705,Medium
38,127400,73510.0,3914.72,1,0,0,1,0,0,42,0,13,15098,15098.0,528,5,3,12,1.0833333333333333,0.4166666666666667,0.0349715194065439,1161.3846153846157,0.0,3,0,4,6,0.04156514479744654,Low
39,324557,73510.0,3914.72,1,0,0,1,0,0,58,0,16,25904,25904.0,645,8,3,12,1.3333333333333333,0.6666666666666666,0.0248996294008647,1619.0,1.0,1,3,8,4,0.009804251215935695,Low
40,742002,73510.0,3915.8,1,0,0,1,0,0,19,0,13,23503,23503.0,0,4,4,12,1.0833333333333333,0.3333333333333333,0.0,1807.923076923077,2.0,2,7,0,4,0.36698229594271825,High
41,536567,80697.0,3919.37,0,1,1,2,0,0,19,0,23,28799,28799.0,0,7,6,12,1.9166666666666667,0.5833333333333334,0.0,1252.1304347826087,0.0,1,3,12,7,0.04549888257540664,Low
42,704835,80697.0,3919.37,0,1,1,2,0,0,15,0,18,26459,26459.0,963,7,3,12,1.5,0.5833333333333334,0.0363959333308137,1469.9444444444443,0.0,3,3,4,8,0.045346525908150366,Low
43,733338,80697.0,3919.37,0,0,1,2,0,0,18,1,3,4497,4497.0,0,1,3,12,0.25,0.0833333333333333,0.0,1499.0,11.0,3,0,0,0,0.7187287935246223,High
46,612905,73510.0,3920.51,1,0,1,1,0,0,34,0,17,26824,26824.0,569,7,4,12,1.4166666666666667,0.5833333333333334,0.0212123471518043,1577.8823529411766,1.0,3,3,7,4,0.04930684600386723,Low
47,679908,77601.0,3921.02,0,0,1,2,0,0,28,0,24,39398,39398.0,535,9,5,12,2.0,0.75,0.0135793695111426,1641.5833333333333,1.0,6,11,5,2,0.06799468500583056,Low
48,704150,77601.0,3921.02,0,1,1,2,0,0,38,0,19,23665,23665.0,409,8,5,12,1.5833333333333333,0.6666666666666666,0.0172829072469892,1245.5263157894738,0.0,5,8,2,4,0.031845283936562926,Low
49,869743,73236.0,3924.42,0,0,0,2,0,0,13,1,15,16548,16548.0,0,5,5,12,1.25,0.4166666666666667,0.0,1103.2,5.0,4,8,3,0,0.47614948411663977,High
50,596179,50879.0,3933.81,0,0,0,2,0,0,45,0,30,51941,51941.0,0,9,5,12,2.5,0.75,0.0,1731.3666666666666,2.0,12,9,5,4,0.07397095797479743,Low
51,370450,62160.0,3934.1,0,0,1,0,0,0,61,0,16,20586,20586.0,1382,6,4,12,1.3333333333333333,0.5,0.0671330030117555,1286.625,0.0,5,2,1,8,0.01649335985245426,Low
52,501030,93541.0,3934.71,0,1,1,2,0,0,9,0,17,19608,19608.0,0,7,4,12,1.4166666666666667,0.5833333333333334,0.0,1153.4117647058824,0.0,0,4,3,10,0.02421817801326907,Low
53,878633,163974.0,3936.79,0,0,1,4,0,0,48,0,27,34014,34014.0,0,7,6,12,2.25,0.5833333333333334,0.0,1259.7777777777778,0.0,7,10,7,3,0.01875456588387112,Low
54,285938,75827.0,3939.01,0,0,1,2,0,0,39,0,22,34494,34494.0,0,8,4,12,1.8333333333333333,0.6666666666666666,0.0,1567.909090909091,0.0,6,5,2,9,0.016677709400654574,Low
55,588237,75827.0,3939.01,0,1,1,2,0,0,49,0,23,22941,22941.0,939,8,5,12,1.9166666666666667,0.6666666666666666,0.0409310840852621,997.4347826086956,1.0,3,11,2,7,0.014680300535771133,Low
56,645280,75827.0,3939.01,0,1,1,2,0,0,60,0,26,28662,28662.0,813,9,6,12,2.1666666666666665,0.75,0.0283650826878794,1102.3846153846157,1.0,2,11,10,3,0.011326678621825891,Low
58,124678,152955.0,3954.34,0,1,1,4,0,0,54,0,26,42652,42652.0,304,9,6,12,2.1666666666666665,0.75,0.0071274500609584,1640.4615384615386,1.0,5,9,7,5,0.002948289859601062,Low
59,186015,152955.0,3954.34,0,1,1,4,0,0,27,0,16,26002,26002.0,0,5,6,12,1.3333333333333333,0.4166666666666667,0.0,1625.125,0.0,4,6,3,3,0.05656687064758261,Low
61,589580,152955.0,3954.34,0,1,1,4,0,0,28,0,27,49010,49010.0,718,8,5,12,2.25,0.6666666666666666,0.0146500714139971,1815.1851851851848,0.0,9,7,5,6,0.016172972463036474,Low
62,623688,152955.0,3954.34,0,0,1,4,0,0,19,0,28,48235,48235.0,690,9,5,12,2.333333333333333,0.75,0.0143049652741785,1722.678571428571,0.0,8,7,7,6,0.0161726681625409,Low
63,256147,73510.0,3958.0,1,0,1,1,0,0,63,0,26,42247,42247.0,339,9,6,12,2.1666666666666665,0.75,0.0080242384074608,1624.8846153846157,0.0,5,8,9,4,0.009296862393831514,Low
64,329382,73510.0,3961.59,1,1,0,1,0,0,64,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.017274765264396044,Low
65,140392,96814.0,3963.39,0,0,1,2,0,0,53,0,15,15254,15254.0,567,7,4,12,1.25,0.5833333333333334,0.0371705782089943,1016.9333333333332,2.0,2,2,7,4,0.009088044490546149,Low
66,230908,217538.0,3964.15,0,1,2,4,0,0,67,0,29,43406,43406.0,822,9,5,12,2.4166666666666665,0.75,0.0189374740819241,1496.7586206896551,0.0,4,12,6,7,0.00039618003179065566,Low
67,972581,48744.0,3964.53,0,1,1,0,0,0,22,0,16,20391,20391.0,639,8,3,12,1.3333333333333333,0.6666666666666666,0.0313373547153155,1274.4375,1.0,6,3,4,3,0.10615929302213896,Low
69,910875,84914.0,3966.13,0,0,1,2,0,0,61,0,8,18109,18109.0,0,4,3,12,0.6666666666666666,0.3333333333333333,0.0,2263.625,5.0,7,0,1,0,0.22464249488626276,Medium
70,501704,73510.0,3974.86,1,1,2,1,0,0,55,0,18,16769,16769.0,2034,5,5,12,1.5,0.4166666666666667,0.1212952471823006,931.6111111111112,0.0,7,0,9,2,0.0578283428653236,Low
71,529098,73510.0,3974.86,1,0,2,1,0,0,2,0,5,6230,6230.0,467,1,5,12,0.4166666666666667,0.0833333333333333,0.074959871589085,1246.0,0.0,0,0,0,5,0.437888895654803,High
73,567875,102457.0,3979.72,0,0,1,2,0,0,7,0,4,9037,9037.0,0,3,2,12,0.3333333333333333,0.25,0.0,2259.25,0.0,0,1,2,1,0.6121359395396606,High
74,688524,103862.0,3980.42,0,0,1,2,0,0,57,0,11,15613,15613.0,1993,5,4,12,0.9166666666666666,0.4166666666666667,0.1276500352270543,1419.3636363636365,0.0,5,0,0,6,0.016672756821165497,Low
75,269070,93153.0,3985.32,0,1,1,3,0,0,59,0,28,35858,35858.0,673,11,4,12,2.333333333333333,0.9166666666666666,0.0187684756539684,1280.642857142857,0.0,8,6,10,4,0.004311814152674841,Low
76,387705,93153.0,3985.32,0,0,1,3,0,0,56,0,20,30308,30308.0,472,6,5,12,1.6666666666666667,0.5,0.0155734459548634,1515.4,1.0,3,2,8,7,0.012004796352024593,Low
77,923293,86793.0,3985.55,0,1,2,2,0,0,18,0,32,36863,36863.0,412,10,6,12,2.6666666666666665,0.8333333333333334,0.0111765184602446,1151.96875,0.0,5,8,15,4,0.04863010600152435,Low
78,283314,72127.0,3991.73,0,0,1,2,0,0,56,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.022028869315228232,Low
79,322102,73510.0,3992.58,1,1,1,1,0,0,52,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.025043561890077424,Low
81,654748,65721.0,3996.77,0,0,1,2,0,0,8,1,12,16433,16433.0,0,5,4,12,1.0,0.4166666666666667,0.0,1369.4166666666667,0.0,0,1,4,7,0.12078561494724198,Low
83,114835,101354.0,4001.52,0,0,2,3,0,0,5,0,8,11280,11280.0,0,4,3,12,0.6666666666666666,0.3333333333333333,0.0,1410.0,0.0,0,0,1,7,0.08685004917749509,Low
84,328936,53118.0,4005.72,0,0,1,2,0,0,33,0,27,30411,30411.0,906,9,6,12,2.25,0.75,0.0297918516326329,1126.3333333333333,0.0,5,2,12,8,0.027944116240213788,Low
85,845864,115440.0,4013.85,0,0,1,4,0,0,56,0,26,32118,32118.0,1376,8,6,12,2.1666666666666665,0.6666666666666666,0.0428420200510617,1235.3076923076924,2.0,5,14,6,1,0.02306502002605696,Low
86,645265,73313.0,4013.95,0,1,1,2,0,0,57,0,17,27182,27182.0,0,8,4,12,1.4166666666666667,0.6666666666666666,0.0,1598.9411764705883,0.0,5,6,2,4,0.013059618477886214,Low
87,223587,100167.0,4013.96,0,0,1,2,0,0,4,0,10,18618,18618.0,554,4,4,12,0.8333333333333334,0.3333333333333333,0.0297561499624019,1861.8,0.0,0,0,2,8,0.1689639066582286,Medium
88,158560,59262.0,4014.45,0,1,1,2,0,0,24,0,15,22952,22952.0,1250,6,3,12,1.25,0.5,0.0544614848379226,1530.1333333333334,0.0,4,3,5,3,0.13715155116207373,Low
89,417584,59262.0,4014.45,0,1,1,2,0,0,43,0,19,31357,31357.0,607,6,6,12,1.5833333333333333,0.5,0.0193577191695634,1650.3684210526317,2.0,4,6,7,2,0.10348707708235615,Low
90,566033,73510.0,4015.21,1,1,1,1,0,0,30,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.066910625653423,Low
91,425854,39079.0,4016.13,0,0,1,0,0,0,13,0,22,34662,34662.0,630,7,5,12,1.8333333333333333,0.5833333333333334,0.0181755236281807,1575.5454545454545,0.0,3,7,9,3,0.2708179710932294,Medium
92,174896,73510.0,4016.54,1,0,0,1,0,0,32,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0,0.07879739952388234,Low
93,695855,73510.0,4019.38,1,0,2,1,0,0,56,0,15,24299,24299.0,436,9,5,12,1.25,0.75,0.017943125231491,1619.9333333333334,1.0,7,2,4,2,0.01375642444181965,Low
94,699511,73510.0,4019.38,1,0,2,1,0,0,41,0,20,30672,30672.0,0,7,5,12,1.6666666666666667,0.5833333333333334,0.0,1533.6,1.0,6,3,9,2,0.060659219084222234,Low
95,377322,62518.0,4023.81,0,0,1,2,0,0,19,0,27,55363,55363.0,1059,8,6,12,2.25,0.6666666666666666,0.019128298683236,2050.4814814814813,0.0,2,13,7,5,0.06752566353892722,Low
96,511053,62518.0,4023.81,0,1,1,2,0,0,33,0,15,25061,25061.0,802,6,4,12,1.25,0.5,0.032001915326603,1670.7333333333331,0.0,5,4,2,4,0.10031293865183162,Low
97,890753,73510.0,4025.1,1,1,1,1,0,0,3,0,5,10400,10400.0,723,1,5,12,0.4166666666666667,0.0833333333333333,0.0695192307692307,2080.0,0.0,0,0,0,5,0.746060058856315,High
98,796670,47536.0,4035.68,0,0,1,2,0,0,46,0,30,47222,47222.0,420,9,6,12,2.5,0.75,0.008894159501927,1574.0666666666666,0.0,4,10,10,6,0.021283404725800346,Low
99,556136,73510.0,4035.77,1,0,1,1,0,0,11,0,18,17599,17599.0,521,8,6,12,1.5,0.6666666666666666,0.0296039547701573,977.7222222222222,0.0,2,5,10,1,0.11694528896613884,Low
100,513081,98320.0,4037.5,0,0,1,2,0,0,25,0,12,22756,22756.0,995,7,3,12,1.0,0.5833333333333334,0.0437247319388293,1896.3333333333333,0.0,1,4,2,5,0.039659909965461614,Low
101,930718,63577.0,4037.55,0,0,1,0,0,0,29,0,26,29787,29787.0,1088,9,4,12,2.1666666666666665,0.75,0.0365260012757243,1145.6538461538462,0.0,2,9,10,5,0.04252645607391272,Low
102,235872,89057.0,4046.94,0,0,0,4,0,0,57,0,26,41976,41976.0,1221,7,6,12,2.1666666666666665,0.5833333333333334,0.0290880503144654,1614.4615384615386,0.0,8,6,4,8,0.01620678736104019,Low
103,881142,89057.0,4046.94,0,0,0,4,0,0,15,1,9,9859,9859.0,870,5,2,12,0.75,0.4166666666666667,0.0882442438381174,1095.4444444444443,7.0,5,4,0,0,0.26694993911590165,Medium
104,295147,99814.0,4048.16,0,1,1,2,0,0,7,0,15,23429,23429.0,968,5,5,12,1.25,0.4166666666666667,0.041316317384438,1561.9333333333334,2.0,0,5,8,2,0.2233751312730136,Medium
105,306110,64587.0,4053.37,0,1,1,2,0,0,55,0,10,14465,14465.0,797,5,4,12,0.8333333333333334,0.4166666666666667,0.0550985136536467,1446.5,0.0,4,2,0,4,0.03743650275891486,Low
