,Loyalty Number,Salary,CLV,Salary_Was_Imputed,Male_Enc,Marital_Enc,Education_Enc,Card_Enc,Promo_Enroll,Tenure_At_Cutoff,Churn,Total_Flights,Total_Distance,Total_Points_Acc,Total_Points_Red,Active_Months,Max_Flights_Month,Total_Months,Avg_Flights_Month,Activity_Rate,Redemption_Ratio,Avg_Distance_Per_Flight,Months_Since_Last_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4
0,480934,83236.0,3839.14,0,0,1,2,0,0,22,0,18,25352,25352.0,322,7,4,12,1.5,0.5833333333333334,0.012701167560744714,1408.4444444444443,0.0,1,8,6,3
1,549612,73510.0,3839.61,1,1,2,1,0,0,21,0,31,36136,36136.0,787,8,5,12,2.5833333333333335,0.6666666666666666,0.021778835510294442,1165.6774193548388,1.0,10,5,9,7
2,429460,73510.0,3839.75,1,1,0,1,0,0,41,1,16,22957,22957.0,374,7,4,12,1.3333333333333333,0.5833333333333334,0.01629132726401533,1434.8125,1.0,5,4,5,2
3,608370,73510.0,3839.75,1,1,0,1,0,0,58,0,24,33369,33369.0,864,9,5,12,2.0,0.75,0.025892295244088825,1390.375,0.0,8,10,3,3
4,530508,103495.0,3842.79,0,1,1,2,0,0,38,0,11,19886,19886.0,0,4,4,12,0.9166666666666666,0.3333333333333333,0.0,1807.8181818181818,1.0,3,2,4,2
5,193662,51124.0,3844.57,0,1,1,2,0,0,67,0,52,84718,84718.0,854,11,12,12,4.333333333333333,0.9166666666666666,0.010080502372577257,1629.1923076923076,0.0,3,20,17,12
6,927943,73510.0,3857.95,1,0,0,1,0,0,42,0,16,21692,21692.0,1174,6,6,12,1.3333333333333333,0.5,0.05412133505439794,1355.75,1.0,3,8,1,4
7,188893,100159.0,3861.49,0,1,1,2,0,0,12,0,23,42235,42235.0,334,8,5,12,1.9166666666666667,0.6666666666666666,0.00790813306499349,1836.304347826087,1.0,7,10,1,5
8,852392,100159.0,3861.49,0,0,1,2,0,0,31,0,20,36504,36504.0,990,7,5,12,1.6666666666666667,0.5833333333333334,0.027120315581854043,1825.2,0.0,6,9,3,2
9,866307,100159.0,3861.49,0,1,1,2,0,0,14,0,23,28135,28135.0,1057,7,5,12,1.9166666666666667,0.5833333333333334,0.03756886440376755,1223.2608695652175,1.0,7,12,0,4
10,932823,66444.0,3863.31,0,0,1,2,0,0,33,0,25,45739,45739.0,499,9,4,12,2.0833333333333335,0.75,0.010909726928879074,1829.56,0.0,5,3,8,9
11,144514,49618.0,3864.78,0,0,1,2,0,0,18,0,12,16970,16970.0,0,5,3,12,1.0,0.4166666666666667,0.0,1414.1666666666667,0.0,3,0,5,4
13,988178,73510.0,3871.07,1,1,0,1,0,0,50,0,38,55010,55010.0,679,12,5,12,3.1666666666666665,1.0,0.012343210325395383,1447.6315789473683,0.0,10,13,7,8
14,286114,73510.0,3872.22,1,0,0,1,0,0,13,0,14,19232,19232.0,1165,6,5,12,1.1666666666666667,0.5,0.0605761231281198,1373.7142857142858,0.0,3,0,7,4
15,205785,128118.0,3873.65,0,1,1,3,0,0,16,0,27,40831,40831.0,1233,9,6,12,2.25,0.75,0.030197643947001054,1512.2592592592594,0.0,4,7,12,4
16,735304,128118.0,3873.65,0,0,1,3,0,0,12,0,9,16132,16132.0,608,6,3,12,0.75,0.5,0.037689065212000994,1792.4444444444443,0.0,2,1,1,5
17,438936,94092.0,3878.77,0,1,1,2,0,0,50,0,29,37432,37432.0,0,9,5,12,2.4166666666666665,0.75,0.0,1290.7586206896551,0.0,4,10,9,6
18,354730,73510.0,3885.46,1,0,1,1,0,0,38,1,20,36872,36872.0,0,8,5,12,1.6666666666666667,0.6666666666666666,0.0,1843.6,1.0,5,6,8,1
19,413741,73510.0,3885.46,1,0,1,1,0,0,29,0,22,42474,42474.0,1410,8,7,12,1.8333333333333333,0.6666666666666666,0.033196779206102554,1930.6363636363637,1.0,7,1,10,4
21,642313,73510.0,3885.46,1,1,1,1,0,0,21,0,19,23282,23282.0,1506,8,5,12,1.5833333333333333,0.6666666666666666,0.06468516450476763,1225.3684210526317,0.0,6,3,6,4
22,263080,73510.0,3886.5,1,1,0,1,0,0,43,0,14,16998,16998.0,0,4,4,12,1.1666666666666667,0.3333333333333333,0.0,1214.142857142857,2.0,0,8,4,2
23,109767,89062.0,3886.65,0,0,0,2,0,0,19,0,19,31203,31203.0,1151,11,3,12,1.5833333333333333,0.9166666666666666,0.036887478768067174,1642.2631578947369,0.0,7,2,6,4
24,217754,102400.0,3887.32,0,0,0,2,0,0,30,0,20,33727,33727.0,0,7,7,12,1.6666666666666667,0.5833333333333334,0.0,1686.35,4.0,5,6,9,0
25,157005,98629.0,3890.87,0,1,1,2,0,0,14,0,28,36212,36212.0,0,11,4,12,2.3333333333333335,0.9166666666666666,0.0,1293.2857142857142,1.0,10,5,11,2
26,557752,98629.0,3890.87,0,0,1,2,0,0,2,0,5,11255,11255.0,0,1,5,12,0.4166666666666667,0.08333333333333333,0.0,2251.0,0.0,0,0,0,5
27,608758,63795.0,3890.96,0,1,1,2,0,0,53,0,13,24928,24928.0,0,7,4,12,1.0833333333333333,0.5833333333333334,0.0,1917.5384615384614,0.0,1,5,2,5
28,599341,54890.0,3891.54,0,0,1,2,0,0,25,0,37,68642,68642.0,983,12,6,12,3.0833333333333335,1.0,0.01432067830191428,1855.1891891891892,0.0,7,5,12,13
29,333502,73510.0,3891.58,1,1,1,1,0,0,45,0,14,19704,19704.0,0,4,5,12,1.1666666666666667,0.3333333333333333,0.0,1407.4285714285713,1.0,3,0,9,2
30,201574,51375.0,3893.31,0,0,1,2,0,0,32,0,0,0,0.0,0,0,0,12,0.0,0.0,0.0,0.0,12.0,0,0,0,0
