Loyalty Number,Salary,CLV,Card_Enc,Tenure_At_Cutoff,Promo_Enroll,Total_Flights,Months_Since_Last_Flight,Activity_Rate,Redemption_Ratio,Avg_Flights_Month,Avg_Distance_Per_Flight,Flights_Q1,Flights_Q2,Flights_Q3,Flights_Q4,Churn,Churn_Prob,Churn_Risk,Segment_ID,Segment_Name,Action_Code,Recommended_Action,Timing
480934,83236.0,3839.14,0,22,0,18,0.0,0.5833333333333334,0.0127011675607447,1.5,1408.4444444444443,1,8,6,3,0,0.0708099880542009,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
549612,73510.0,3839.61,0,21,0,31,1.0,0.6666666666666666,0.0217788355102944,2.583333333333333,1165.6774193548388,10,5,9,7,0,0.1178718106773954,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
429460,73510.0,3839.75,0,41,0,16,1.0,0.5833333333333334,0.0162913272640153,1.3333333333333333,1434.8125,5,4,5,2,1,0.0635854813748492,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
608370,73510.0,3839.75,0,58,0,24,0.0,0.75,0.0258922952440888,2.0,1390.375,8,10,3,3,0,0.0234203910882949,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
530508,103495.0,3842.79,0,38,0,11,1.0,0.3333333333333333,0.0,0.9166666666666666,1807.8181818181813,3,2,4,2,0,0.1211807706037753,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
193662,51124.0,3844.57,0,67,0,52,0.0,0.9166666666666666,0.0100805023725772,4.333333333333333,1629.1923076923076,3,20,17,12,0,0.0021190569723854,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
927943,73510.0,3857.95,0,42,0,16,1.0,0.5,0.0541213350543979,1.3333333333333333,1355.75,3,8,1,4,0,0.0734294951228482,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
188893,100159.0,3861.49,0,12,0,23,1.0,0.6666666666666666,0.0079081330649934,1.9166666666666667,1836.304347826087,7,10,1,5,0,0.0924194918807387,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
852392,100159.0,3861.49,0,31,0,20,0.0,0.5833333333333334,0.027120315581854,1.6666666666666667,1825.2,6,9,3,2,0,0.0894084666736779,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
866307,100159.0,3861.49,0,14,0,23,1.0,0.5833333333333334,0.0375688644037675,1.9166666666666667,1223.2608695652175,7,12,0,4,0,0.1743296287630285,Medium,3,Stable Regulars,PROACTIVE SAVE,Loyalty challenge: fly 2 more times this quarter for tier upgrade,Start of quarter
932823,66444.0,3863.31,0,33,0,25,0.0,0.75,0.010909726928879,2.083333333333333,1829.56,5,3,8,9,0,0.0126687307597042,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
144514,49618.0,3864.78,0,18,0,12,0.0,0.4166666666666667,0.0,1.0,1414.1666666666667,3,0,5,4,0,0.1928144524443741,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
988178,73510.0,3871.07,0,50,0,38,0.0,1.0,0.0123432103253953,3.1666666666666665,1447.6315789473683,10,13,7,8,0,0.0080989171782337,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
286114,73510.0,3872.22,0,13,0,14,0.0,0.5,0.0605761231281198,1.1666666666666667,1373.7142857142858,3,0,7,4,0,0.1643447832698361,Medium,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
205785,128118.0,3873.65,0,16,0,27,0.0,0.75,0.030197643947001,2.25,1512.2592592592594,4,7,12,4,0,0.0272348614635549,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
735304,128118.0,3873.65,0,12,0,9,0.0,0.5,0.0376890652120009,0.75,1792.4444444444443,2,1,1,5,0,0.0618070424465166,Low,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
438936,94092.0,3878.77,0,50,0,29,0.0,0.75,0.0,2.4166666666666665,1290.7586206896551,4,10,9,6,0,0.0097306266134351,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
354730,73510.0,3885.46,0,38,0,20,1.0,0.6666666666666666,0.0,1.6666666666666667,1843.6,5,6,8,1,1,0.0636873845104697,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
413741,73510.0,3885.46,0,29,0,22,1.0,0.6666666666666666,0.0331967792061025,1.8333333333333333,1930.636363636364,7,1,10,4,0,0.0682902319035783,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
642313,73510.0,3885.46,0,21,0,19,0.0,0.6666666666666666,0.0646851645047676,1.5833333333333333,1225.3684210526317,6,3,6,4,0,0.0719373696243135,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
263080,73510.0,3886.5,0,43,0,14,2.0,0.3333333333333333,0.0,1.1666666666666667,1214.142857142857,0,8,4,2,0,0.1146690545025516,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
109767,89062.0,3886.65,0,19,0,19,0.0,0.9166666666666666,0.0368874787680671,1.5833333333333333,1642.2631578947369,7,2,6,4,0,0.0228529207548257,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
217754,102400.0,3887.32,0,30,0,20,4.0,0.5833333333333334,0.0,1.6666666666666667,1686.35,5,6,9,0,0,0.1423354631400544,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
157005,98629.0,3890.87,0,14,0,28,1.0,0.9166666666666666,0.0,2.333333333333333,1293.2857142857142,10,5,11,2,0,0.0577150591158044,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
557752,98629.0,3890.87,0,2,0,5,0.0,0.0833333333333333,0.0,0.4166666666666667,2251.0,0,0,0,5,0,0.7392917693933468,High,1,New At-Risk,WIN-BACK,Email: 2x points on next booking valid 30 days,Within 7 days
608758,63795.0,3890.96,0,53,0,13,0.0,0.5833333333333334,0.0,1.0833333333333333,1917.5384615384608,1,5,2,5,0,0.0178136942799024,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
599341,54890.0,3891.54,0,25,0,37,0.0,1.0,0.0143206783019142,3.083333333333333,1855.1891891891887,7,5,12,13,0,0.0038235325707597,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
333502,73510.0,3891.58,0,45,0,14,1.0,0.3333333333333333,0.0,1.1666666666666667,1407.428571428571,3,0,9,2,0,0.1052712173362277,Low,3,Stable Regulars,NURTURE,Monthly newsletter + birthday bonus points,Ongoing
